date,location,tourist_count,weather_temp,event,season
2023-04-13,London,9523,26.476885381006923,Conference,Winter
2023-04-13,Tokyo,10767,35.79212815507391,Conference,Summer
2023-05-30,Sydney,8542,15.305256140650478,Holiday,Spring
2023-07-11,London,3086,22.419622715660342,None,Winter
2023-08-24,Paris,8314,9.871688796655762,Conference,Winter
2023-07-07,New York,8355,19.755448225059343,Conference,Autumn
2023-11-03,Sydney,9119,-0.2671961573009227,Conference,Winter
2023-12-12,Sydney,6898,27.791926345150046,Holiday,Spring
2023-09-21,New York,3779,28.22544912103189,None,Spring
2023-01-02,Tokyo,6956,-1.7833424682370875,Festival,Autumn
2023-09-27,London,6416,9.909146571348924,Festival,Winter
2023-12-04,Sydney,8419,20.964164790302583,Festival,Autumn
2023-02-10,Sydney,7611,13.230779996940413,None,Summer
2023-03-04,New York,7677,29.30584400771102,None,Summer
2023-09-18,Tokyo,11099,4.918467104525172,Festival,Summer
2023-02-17,Sydney,10296,28.347954192304282,Holiday,Summer
2023-08-15,Sydney,10736,24.677947532631517,Festival,Summer
2023-09-12,New York,7939,16.013616099847987,Conference,Winter
2023-06-28,Paris,5019,29.035324906258424,None,Autumn
2023-08-19,Sydney,10823,36.22920499341374,Conference,Summer
2023-10-11,Tokyo,4683,13.896779826526656,None,Spring
2023-10-11,London,7790,29.62641289999702,Holiday,Autumn
2023-05-08,Tokyo,9744,27.24083251525877,Holiday,Summer
2023-10-10,Paris,5345,-6.551760475634701,None,Autumn
2023-06-14,Paris,9833,24.529363265335093,Festival,Summer
2023-06-09,Paris,4972,19.845166599882212,None,Autumn
2023-09-25,Tokyo,6915,15.582339767739871,None,Summer
2023-08-12,Paris,9974,23.380226588751416,Conference,Winter
2023-08-06,London,9331,6.7812304936656105,Conference,Summer
2023-10-21,Sydney,10190,25.868570938002705,Festival,Autumn
2023-08-28,Paris,8080,39.338398009281185,Holiday,Winter
2023-09-16,London,7048,27.181282798247107,Conference,Autumn
2023-05-27,London,7085,25.363360323820654,Conference,Autumn
2023-05-08,Tokyo,5873,31.692076469526224,None,Autumn
2023-05-31,Tokyo,10526,30.43860610918658,Conference,Summer
2023-03-01,Paris,5781,22.598827942484235,None,Spring
2023-01-09,Paris,10296,25.219415656168977,Conference,Summer
2023-06-01,Paris,8847,22.262882694988747,Holiday,Autumn
2023-08-15,Paris,7473,38.65774511144757,None,Summer
2023-07-27,Sydney,8787,10.253183297726785,Holiday,Winter
2023-10-04,London,8958,28.67229498976444,Holiday,Autumn
2023-05-08,Paris,8146,42.733451580174815,Holiday,Autumn
2023-01-22,Sydney,10872,18.591014455326498,Festival,Summer
2023-10-04,Paris,7965,5.935947328184511,Conference,Autumn
2023-11-13,New York,8190,19.88416680218006,Conference,Autumn
2023-02-15,Sydney,6055,26.061293630990846,Conference,Spring
2023-04-05,New York,4524,17.82543023095976,None,Autumn
2023-06-10,New York,8092,27.101092403639537,Festival,Autumn
2023-02-27,New York,7191,22.30953722945133,Festival,Autumn
2023-12-08,Tokyo,8816,9.745001302798439,Conference,Summer
2023-04-14,Paris,9778,24.497740384887337,Conference,Winter
2023-06-19,Tokyo,13852,25.15047686306048,Festival,Summer
2023-06-22,London,8651,29.540017634932024,Holiday,Winter
2023-05-23,London,7324,38.89547656126583,Festival,Spring
2023-02-20,Paris,8595,15.872383868098936,Conference,Spring
2023-06-19,New York,5128,35.60380141132879,None,Autumn
2023-04-18,Sydney,10438,16.08598187918168,Holiday,Summer
2023-12-16,New York,10186,-0.2514258665760707,Holiday,Summer
2023-05-25,New York,9661,12.281809222432448,Festival,Autumn
2023-02-27,Tokyo,6387,23.177670324371185,Conference,Winter
2023-02-17,Paris,6651,23.772962654604093,None,Autumn
2023-10-05,Sydney,8720,12.692585967703465,Conference,Summer
2023-03-27,Paris,8599,26.990923818599892,Festival,Winter
2023-04-10,Paris,8139,15.799525353724839,Festival,Spring
2023-09-03,Sydney,8755,20.018136111946763,Festival,Autumn
2023-11-21,Sydney,7399,21.990596955734702,Holiday,Autumn
2023-06-09,New York,9808,27.491056769643237,Holiday,Autumn
2023-02-02,Paris,9136,24.46289348001918,Conference,Winter
2023-03-06,Paris,7131,13.310251726833151,Festival,Autumn
2023-01-12,Tokyo,9116,4.562745973081039,Conference,Winter
2023-03-31,Sydney,7644,13.77762835093721,Festival,Spring
2023-04-24,Sydney,6494,19.099213668197933,None,Summer
2023-09-06,London,5610,27.47293605123262,None,Spring
2023-06-26,New York,7408,32.77664895788425,Holiday,Autumn
2023-06-01,Sydney,5857,31.443715354746836,None,Autumn
2023-12-21,Paris,8253,16.740268590185114,None,Spring
2023-08-05,Sydney,9869,23.241663524884423,Conference,Summer
2023-02-21,New York,10143,31.235417816915167,Conference,Spring
2023-02-22,Paris,8675,23.24518316374555,None,Summer
2023-11-27,Tokyo,10496,28.889842942771534,Holiday,Summer
2023-09-10,Sydney,7766,28.862019661293758,Festival,Autumn
2023-07-13,Sydney,3538,24.455069012813844,None,Winter
2023-12-31,Paris,7812,22.89882811537126,Holiday,Spring
2023-10-28,London,9860,18.36134736537032,Festival,Autumn
2023-12-30,New York,6124,12.756662046529005,Festival,Spring
2023-06-22,Sydney,8471,35.9015771901085,Holiday,Spring
2023-11-13,Paris,7761,8.95778211452867,None,Summer
2023-07-10,London,5457,16.56798763368832,None,Winter
2023-05-14,Tokyo,5983,20.69652664518879,None,Autumn
2023-07-22,London,8054,24.736273877275647,Holiday,Winter
2023-02-16,Paris,9525,11.027636686386943,Festival,Winter
2023-01-12,Tokyo,8976,18.890680643704897,Holiday,Autumn
2023-06-05,Sydney,6644,18.422760417458967,Festival,Autumn
2023-07-05,London,8362,0.8729348293578099,Holiday,Spring
2023-07-31,Sydney,9476,27.419630165294652,Holiday,Autumn
2023-01-10,Tokyo,5830,16.90256896517395,None,Summer
2023-03-06,Tokyo,6902,22.954775244231833,Conference,Autumn
2023-03-04,Paris,8278,22.756351578874078,Conference,Spring
2023-04-08,Paris,9944,18.913713359111444,Conference,Summer
2023-01-06,London,5312,35.16233322933896,None,Winter
2023-06-14,Tokyo,6400,16.869762917835594,Conference,Spring
2023-01-01,New York,4742,23.331732948398244,None,Winter
2023-10-15,Tokyo,7251,23.323140119795916,Conference,Autumn
2023-06-11,New York,11153,21.699729029073083,Festival,Summer
2023-08-10,New York,6368,26.453759495851475,None,Winter
2023-03-07,New York,8241,30.58424486849588,Conference,Summer
2023-10-13,New York,11718,23.601690021355154,Conference,Summer
2023-12-01,London,8227,39.05907236926994,Conference,Spring
2023-10-12,London,8586,24.607370675639192,Holiday,Spring
2023-12-06,Sydney,7910,-0.6744210003987661,Festival,Spring
2023-08-23,New York,7060,23.665982460968483,Conference,Autumn
2023-12-26,London,5955,19.37320902726828,None,Autumn
2023-04-03,Tokyo,7471,26.161066540197496,Festival,Winter
2023-04-02,Tokyo,7808,5.65911130767476,Festival,Winter
2023-02-03,Paris,8042,18.980504875201436,Festival,Spring
2023-09-06,Paris,8041,7.739469958018974,Conference,Spring
